Time,Actual,Predicted
339.21994,14.722285,14.865938
10.03,8.9315,9.136197
4443.741,52.89,53.00383
8020.902,49.9,49.365696
10.919999,3.25824,2.8881361
11.04,10.34,9.453921
9.91,2.702112,2.9452238
9.9800005,13.08,9.509132
16.810001,3.3276083,3.2747777
11.81,4.51,3.3357704
4298.8516,49.2,47.87322
16.95,10.09,10.430286
17.81,5.1771655,5.162014
9.809999,1.55,1.769328
15.940001,13.79,14.495747
23.839998,6.5692344,6.284708
671.44,38.48,41.19647
19.11,13.142875,13.067402
13.059999,11.72,12.343017
8.02,7.283,7.75393
22.98,17.84,16.690872
21.98,11.42,11.00754
2189.0295,43.23,46.50072
14.940001,13.1,12.526829
5.8100004,0.56,0.3859182
4373.571,45.243427,46.973022
9.989999,4.06,5.1110044
69.75,31.13,32.219814
26.8,13.79,14.111624
672.39,15.669943,15.520355
16.95,14.48,14.414856
5.0099998,2.22,1.6385214
7.01,6.0003705,4.5465307
5.8100004,0.86,1.5549606
13.059999,11.72,10.966756
9.91,2.702112,2.5919027
9.0199995,11.202638,9.4952135
21.92,19.72,16.787983
8.02,7.12,4.6060266
6.9,0.91193146,1.7714646
10.03,10.25,9.466904
73.52998,10.528457,11.327942
11.81,4.51,4.34632
671.44,38.48,39.849377
338.94992,39.990856,39.93511
17.95,14.75,15.0131035
10.03,9.1,8.855076
16.95,14.48,16.649904
5.0099998,2.22,1.8352978
2189.6497,47.09,46.383007
13.8,4.2514286,4.4412456
8423.488,55.87,53.76233
19.11,16.944387,16.612537
5.0099998,0.89,0.48524076
13.079999,14.360791,13.543236
17.81,3.5551083,3.906556
12.070002,13.928049,13.152887
20.969997,16.61,16.208864
5.98,1.4,1.8772184
9.030001,8.39,7.080413
22.120003,18.234043,19.02774
8.02,7.12,4.5087547
73.98999,26.4672,30.764866
18.960001,15.37,15.040064
9.9800005,12.7,13.027969
5.99,0.92,0.864793
2189.6497,47.09,47.72079
8.809999,2.04,1.6791763
12.810001,5.43,4.209013
